Time (h),Temperature1 (degC), Temperature2 (degC), Temperature3 (degC), Temperature4 (degC), Temperature5 (degC), Temperature6 (degC), Temperature7 (degC), Temperature8 (degC), Temperature9 (degC), Temperature10 (degC), Temperature11 (degC), Temperature12 (degC), Temperature13 (degC), 
1218,22.09039378696059,22.765633284201783,24.676700695746092,24.158162247951736,24.736000869331065,24.39091625188837,22.316374961225392,21.872717172450223,24.6276446672411,25.563517049824895,25.6375788723214,26.370655621784636,22.848407514862004,22.932031173525388
1219,22.09383314722095,22.769229888107247,24.6800302504127,24.161826445263102,24.739496656135373,24.394548956650453,22.32043480149673,21.876344837474846,24.628630151259927,25.56702335996829,25.641035866130835,26.37412609327697,22.852199283686787,22.935723798554022
1220,22.097272507481364,22.77282649201271,24.683359805079363,24.165490642574525,24.74299244293968,24.398181661412593,22.32449464176807,21.87997250249947,24.62961563527881,25.570529670111625,25.64449285994033,26.377596564769362,22.855991052511627,22.939416423582657
1221,22.100711867741666,22.776423095918233,24.68668935974597,24.169154839885948,24.746488229744045,24.401814366174733,22.328554482039465,21.883600167524037,24.630601119297637,25.57403598025502,25.647949853749765,26.381067036261754,22.85978282133641,22.94310904861129
1222,22.10415122800208,22.780019699823697,24.690018914412633,24.172819037197314,24.74998401654841,24.405447070936873,22.332614322310803,21.88722783254866,24.631586603316464,25.577542290398355,25.6514068475592,26.384537507754146,22.86357459016125,22.946801673639868
1223,22.10759058826244,22.783616303729104,24.69334846907924,24.176483234508737,24.753479803352775,24.409079775698956,22.3366741625822,21.890855497573284,24.63257208733529,25.58104860054175,25.654863841368638,26.38800797924648,22.867366358986033,22.950494298668445
1224,22.1110299485228,22.787212907634625,24.696678023745847,24.180147431820103,24.756975590157083,24.412712480461153,22.340734002853537,21.894483162597908,24.633557571354117,25.584554910685085,25.658320835178074,26.391478450738873,22.871158127810816,22.95418692369708
1225,22.114469308783214,22.79080951154009,24.700007578412453,24.183811629131526,24.76047137696139,24.416345185223236,22.344793843124876,21.898110827622475,24.634543055373,25.58806122082848,25.661777828987567,26.394948922231265,22.874949896635655,22.957879548725714
1226,22.117908669043572,22.794406115445554,24.703337133079117,24.187475826442892,24.763967163765756,24.419977889985375,22.348853683396214,21.901738492647098,24.635528539391828,25.591567530971815,25.665234822797004,26.3984193937236,22.87874166546044,22.96157217375429
1227,22.121348029303988,22.798002719351018,24.706666687745724,24.191140023754315,24.767462950570064,24.42361059474746,22.35291352366761,21.905366157671665,24.636514023410655,25.59507384111521,25.66869181660644,26.401889865215992,22.88253343428528,22.965264798782925
1228,22.12478738956429,22.801599323256482,24.709996242412387,24.19480422106568,24.77095873737443,24.4272432995096,22.35697336393895,21.908993822696345,24.63749950742948,25.598580151258545,25.672148810415877,26.405360336708384,22.88632520311006,22.968957423811503
1229,22.128226749824705,22.805195927161947,24.713325797078994,24.198468418377047,24.774454524178793,24.430876004271738,22.361033204210344,21.912621487720912,24.63848499144831,25.602086461401882,25.675605804225313,26.40883080820072,22.890116971934845,22.972650048840137
1230,22.131666110085064,22.80879253106741,24.7166553517456,24.20213261568847,24.7779503109831,24.43450870903382,22.365093044481682,21.916249152745536,24.639470475467192,25.605592771545275,25.67906279803475,26.41230127969311,22.893908740759684,22.976342673868714
1231,22.135105470345422,22.812389134972932,24.719984906412265,24.205796812999836,24.781446097787466,24.438141413796018,22.36915288475302,21.919876817770103,24.64045595948602,25.609099081688612,25.682519791844186,26.415771751185503,22.897700509584467,22.98003529889735
1232,22.138544830605838,22.815985738878396,24.72331446107887,24.20946101031126,24.784941884591774,24.4417741185581,22.373212725024416,21.923504482794783,24.641441443504846,25.61260539183195,25.68597678565368,26.419242222677894,22.90149227840925,22.983727923925983
